ID,Name,OptionKey,Weight,Tier
CurePotion,CurePotion,Potion_CureOption,3,1
HealingPotion,HealingPotion,Potion_Healing,1,1
PoisonPotion,PoisonPotion,Potion_PoisonOption,1,1
ConfusePotion,DizzyPotion,Potion_ConfuseOption,1,2
StrengthPotion,StrengthPotion,Potion_StrengthBuff,1,2
AgilityPotion,AgilityPotion,Potion_AgillityBuff,1,2
IntelligencePotion,IntelligencePotion,Potion_IntBuff,1,2
WarriorPotion,WarriorPotion,Potion_Warrior,0.5,2
MpHealingPotion,MpHealingPotion,Potion_MpHealing,1,2
InvisiblePotion,InvisiblePotion,Potion_Invisible,1,2
RamdomPotion,RandomEffect,Potion_Ranodm,0.2,2
MutatePotion,MutatePotion,Potion_Mutate,0.5,3
QuicknessPotion,QuicknessPotion,Potion_Quickness,1,3
EagleEyePotion,EagleEyePotion,Potion_EagleEye,0.1,3
FireResistPotion,FierResistPotion,Potion_FireRsist,0.5,2
IceResistPotion,IceResistPotion,Potion_IceResist,0.5,2
RegeneratePotion,RegenerationPotion,Potion_RegeneratePotion,0.5,3
GhostPotion,GhostPotion,Potion_Ghost,0.1,3
TrollsBlood,TrollsBlood,Potion_TrollsBlood,1,4
VamfierBlood,VamfierBlood,Potion_TrollsBlood,0.5,4
PhoenixTears,PhoenixTears,Potion_VamfierBlood,1,5
ElixirOfApex,ElixirOfApex,Potion_PhoenixTear,1,5
ElixirOfSoul,ElixirOfSoul,Potion_ElixirOfApex,1,5
ElixirOfAccelerate,ElixirOfAccelerate,Potion_ElixirOfAccelerate,1,5
IdentifyScroll,IdentifyScroll,Scroll_Identify,2,1
CurseScroll,CurseScroll,Scroll_Curse,0.3,1
PurificationScroll,PurificationScroll,Scroll_Purification,1,1
LongScroll,LongScroll,Scroll_Long,0.3,1
TelleVisionScroll,TellevisionScroll,Scroll_TelleVision,0.5,1
ArmorrReinforceScroll,ArmorrReinforceScroll,Scroll_ArmorReinforce,1,2
ArmorrReinforceScroll,ArmorrReinforceScroll,Scroll_ArmorReinforce,0,2
WeaponReinforceScroll,WeaponReinforceScroll,Scroll_WeaponReinforce,1,2
WeaponReinforceScroll,WeaponReinforceScroll,Scroll_WeaponReinforce,0,2
ParchmentOfNagging,ParchmentOfNagging,Scroll_Nagging,0.2,2
BlinkScroll,BlinkScroll,Scroll_Blink,1,3
TelleportScroll,TelleprtScroll,Scroll_Telleport,1,4
InfernoScroll,InfernoScroll,Scroll_Infernal,1,2
XrayScroll,XrayScroll,Scroll_Xray,0.3,3
SleepScroll,SleepScroll,Scroll_Sleep,0.5,4
SilenceScroll,SilenceScroll,Scroll_Silence,0.5,3
WishScroll,WishScroll,Scroll_Wish,0.5,4
GorgonScroll,GorgonScroll,Scroll_Gorgon,0.5,5
VoidScroll,VoidScroll,Scroll_Void,0.5,5
Scroll of Essence Extraction,Scroll of Essence Extraction,Scroll_Essence,0.3,5
