ID,OptionKey,Name,SlotType,EquipmentCategory,ItemCategory,ItemSubType,Tier,Weight
CombatKnife_Damage,Weapon_Damage,CombatKnife,MainHand,Weapon,ShortSword,OneHand,1,1
CombatKnife_Accuracy,Weapon_Accurency,CombatKnife,MainHand,Weapon,ShortSword,OneHand,1,1
CombatKnife_AttackSpeed,Weapon_AttackSpeed,CombatKnife,MainHand,Weapon,ShortSword,OneHand,1,1
Dagger_Damage,Weapon_Damage,Dagger,MainHand,Weapon,ShortSword,OneHand,2,1
Dagger_Accuracy,Weapon_Accurency,Dagger,MainHand,Weapon,ShortSword,OneHand,2,1
Dagger_AttackSpeed,Weapon_AttackSpeed,Dagger,MainHand,Weapon,ShortSword,OneHand,2,1
ShortSword_Damage,Weapon_Damage,ShortSword,MainHand,Weapon,ShortSword,OneHand,3,1
ShortSword_Accuracy,Weapon_Accurency,ShortSword,MainHand,Weapon,ShortSword,OneHand,3,1
ShortSword_AttackSpeed,Weapon_AttackSpeed,ShortSword,MainHand,Weapon,ShortSword,OneHand,3,1
Stiletto_Damage,Weapon_Damage,Stiletto,MainHand,Weapon,ShortSword,OneHand,4,1
Stiletto_Accuracy,Weapon_Accurency,Stiletto,MainHand,Weapon,ShortSword,OneHand,4,1
Stiletto_AttackSpeed,Weapon_AttackSpeed,Stiletto,MainHand,Weapon,ShortSword,OneHand,4,1
Kris_Damage,Weapon_Damage,Kris,MainHand,Weapon,ShortSword,OneHand,4,1
Kris_Accuracy,Weapon_Accurency,Kris,MainHand,Weapon,ShortSword,OneHand,4,1
Kris_AttackSpeed,Weapon_AttackSpeed,Kris,MainHand,Weapon,ShortSword,OneHand,4,1
Kris_MagicDamage,Weapon_MagicDamage,Kris,MainHand,Weapon,ShortSword,OneHand,4,1
Kris_MagicAccurency,Weapon_MagicAccurency,Kris,MainHand,Weapon,ShortSword,OneHand,4,1
LongSword_Damage,Weapon_Damage,LongSword,MainHand,Weapon,LongSword,OneHand,1,1
LongSword_Accuracy,Weapon_Accurency,LongSword,MainHand,Weapon,LongSword,OneHand,1,1
BroadSword_Damage,Weapon_Damage,BroadSword,MainHand,Weapon,LongSword,OneHand,2,1
BroadSword_Accuracy,Weapon_Accurency,BroadSword,MainHand,Weapon,LongSword,OneHand,2,1
Falchion_Damage,Weapon_Damage,Falchion,MainHand,Weapon,LongSword,OneHand,2,1
Falchion_Accuracy,Weapon_Accurency,Falchion,MainHand,Weapon,LongSword,OneHand,2,1
GreatSword_Damage,Weapon_Damage,GreatSword,MainHand,Weapon,LongSword,TwoHand,3,1
GreatSword_Accuracy,Weapon_Accurency,GreatSword,MainHand,Weapon,LongSword,TwoHand,3,1
GreatSword_AttackSpeed,Weapon_AttackSpeed,GreatSword,MainHand,Weapon,LongSword,TwoHand,3,1
