ID,OptionKey,ModifierID,OptionName,IsMuti,Priority,Value,Tier,Weight,TargetType,TargetSubType,KeyOder
W_Damage_POH_T1,W_Damage_POH_T1,Weapon_Damage,Add_W_Damage_OH,FALSE,50,1,1,20,Weapon,OneHand,0
W_Damage_POH_T2,W_Damage_POH_T2,Weapon_Damage,Add_W_Damage_OH,FALSE,50,2,2,30,Weapon,OneHand,0
W_Damage_POH_T3,W_Damage_POH_T3,Weapon_Damage,Add_W_Damage_OH,FALSE,50,3,3,50,Weapon,OneHand,0
W_Damage_POH_T4,W_Damage_POH_T4,Weapon_Damage,Add_W_Damage_OH,FALSE,50,4,4,20,Weapon,OneHand,0
W_Damage_POH_T5,W_Damage_POH_T5,Weapon_Damage,Add_W_Damage_OH,FALSE,50,5,5,5,Weapon,OneHand,0
W_Damage_MOH_T1,W_Damage_MOH_T1,Weapon_Damage,Add_W_Damage_OH,FALSE,50,-1,1,4,Weapon,OneHand,0
W_Damage_MOH_T2,W_Damage_MOH_T2,Weapon_Damage,Add_W_Damage_OH,FALSE,50,-2,2,5,Weapon,OneHand,0
W_Damage_MOH_T3,W_Damage_MOH_T3,Weapon_Damage,Add_W_Damage_OH,FALSE,50,-3,3,4,Weapon,OneHand,0
W_Damage_MOH_T4,W_Damage_MOH_T4,Weapon_Damage,Add_W_Damage_OH,FALSE,50,-4,4,1,Weapon,OneHand,0
W_Acc_POH_T1,W_Acc_POH_T1,Weapon_Accurancy,Add_W_Acc_OH,FALSE,50,1,1,10,Weapon,OneHand,0
W_Acc_POH_T2,W_Acc_POH_T2,Weapon_Accurancy,Add_W_Acc_OH,FALSE,50,2,2,20,Weapon,OneHand,0
W_Acc_POH_T3,W_Acc_POH_T3,Weapon_Accurancy,Add_W_Acc_OH,FALSE,50,3,3,30,Weapon,OneHand,0
W_Acc_POH_T4,W_Acc_POH_T4,Weapon_Accurancy,Add_W_Acc_OH,FALSE,50,4,4,10,Weapon,OneHand,0
W_Acc_POH_T5,W_Acc_POH_T5,Weapon_Accurancy,Add_W_Acc_OH,FALSE,50,5,5,5,Weapon,OneHand,0
W_Acc_MOH_T1,W_Acc_MOH_T1,Weapon_Accurancy,Add_W_Acc_OH,FALSE,50,-1,1,4,Weapon,OneHand,0
W_Acc_MOH_T2,W_Acc_MOH_T2,Weapon_Accurancy,Add_W_Acc_OH,FALSE,50,-2,2,5,Weapon,OneHand,0
W_Acc_MOH_T3,W_Acc_MOH_T3,Weapon_Accurancy,Add_W_Acc_OH,FALSE,50,-3,3,4,Weapon,OneHand,0
W_Acc_MOH_T4,W_Acc_MOH_T4,Weapon_Accurancy,Add_W_Acc_OH,FALSE,50,-4,4,1,Weapon,OneHand,0
W_Damage_PTH_T1,W_Damage_PTH_T1,Weapon_Damage,Add_W_Damage_TH,FALSE,50,2,1,20,Weapon,TwoHand,0
W_Damage_PTH_T2,W_Damage_PTH_T2,Weapon_Damage,Add_W_Damage_TH,FALSE,50,3,2,30,Weapon,TwoHand,0
W_Damage_PTH_T3,W_Damage_PTH_T3,Weapon_Damage,Add_W_Damage_TH,FALSE,50,4,3,50,Weapon,TwoHand,0
W_Damage_PTH_T4,W_Damage_PTH_T4,Weapon_Damage,Add_W_Damage_TH,FALSE,50,5,4,40,Weapon,TwoHand,0
W_Damage_PTH_T5,W_Damage_PTH_T5,Weapon_Damage,Add_W_Damage_TH,FALSE,50,7,5,20,Weapon,TwoHand,0
W_Acc_PTH_T1,W_Acc_PTH_T1,Weapon_Accurancy,Add_W_Acc_TH,FALSE,50,2,1,10,Weapon,TwoHand,0
W_Acc_PTH_T2,W_Acc_PTH_T2,Weapon_Accurancy,Add_W_Acc_TH,FALSE,50,3,2,20,Weapon,TwoHand,0
W_Acc_PTH_T3,W_Acc_PTH_T3,Weapon_Accurancy,Add_W_Acc_TH,FALSE,50,4,3,20,Weapon,TwoHand,0
W_Acc_PTH_T4,W_Acc_PTH_T4,Weapon_Accurancy,Add_W_Acc_TH,FALSE,50,6,4,10,Weapon,TwoHand,0
W_Acc_PTH_T5,W_Acc_PTH_T5,Weapon_Accurancy,Add_W_Acc_TH,FALSE,50,8,5,5,Weapon,TwoHand,0
W_AttackSpeed_P,W_AttackSpeed_P,AddOption_AttackSpeed,Add_W_AttackSpeed,TRUE,100,-0.3,5,10,Weapon,None,0
W_Vamp_P,W_Vamp_P,AddOption_Vamp,Add_W_Vamp,TRUE,100,0.1,5,10,Weapon,None,0
A_StatBonus_Str_T1,A_StatBonus_Str_T1,AddOption_Str,Add_A_StatBonus_Str,FALSE,50,1,1,20,None,None,0
A_StatBonus_Str_T2,A_StatBonus_Str_T2,AddOption_Str,Add_A_StatBonus_Str,FALSE,50,2,2,20,None,None,0
A_StatBonus_Str_T3,A_StatBonus_Str_T3,AddOption_Str,Add_A_StatBonus_Str,FALSE,50,3,3,30,None,None,0
A_StatBonus_Str_T4,A_StatBonus_Str_T4,AddOption_Str,Add_A_StatBonus_Str,FALSE,50,4,4,10,None,None,0
A_StatBonus_Str_T5,A_StatBonus_Str_T5,AddOption_Str,Add_A_StatBonus_Str,FALSE,50,5,5,5,None,None,0
A_StatMinus_Str_T1,A_StatMinus_Str_T1,AddOption_Str,Add_A_StatBonus_Str,FALSE,50,-1,1,10,None,None,0
A_StatMinus_Str_T2,A_StatMinus_Str_T2,AddOption_Str,Add_A_StatBonus_Str,FALSE,50,-2,2,10,None,None,0
A_StatMinus_Str_T3,A_StatMinus_Str_T3,AddOption_Str,Add_A_StatBonus_Str,FALSE,50,-3,3,10,None,None,0
A_StatBonus_Dex_T1,A_StatBonus_Dex_T1,AddOption_Dex,Add_A_StatBonus_Dex,FALSE,50,1,1,20,None,None,0
A_StatBonus_Dex_T2,A_StatBonus_Dex_T2,AddOption_Dex,Add_A_StatBonus_Dex,FALSE,50,1,2,20,None,None,0
A_StatBonus_Dex_T3,A_StatBonus_Dex_T3,AddOption_Dex,Add_A_StatBonus_Dex,FALSE,50,2,3,30,None,None,0
A_StatBonus_Dex_T4,A_StatBonus_Dex_T4,AddOption_Dex,Add_A_StatBonus_Dex,FALSE,50,3,4,10,None,None,0
A_StatBonus_Dex_T5,A_StatBonus_Dex_T5,AddOption_Dex,Add_A_StatBonus_Dex,FALSE,50,4,5,5,None,None,0
A_StatMinus_Dex_T1,A_StatMinus_Dex_T1,AddOption_Dex,Add_A_StatBonus_Dex,FALSE,50,-1,1,10,None,None,0
A_StatMinus_Dex_T2,A_StatMinus_Dex_T2,AddOption_Dex,Add_A_StatBonus_Dex,FALSE,50,-2,2,10,None,None,0
A_StatMinus_Dex_T3,A_StatMinus_Dex_T3,AddOption_Dex,Add_A_StatBonus_Dex,FALSE,50,-3,3,10,None,None,0
A_StatBonus_Int_T1,A_StatBonus_Int_T1,AddOption_Int,Add_A_StatBonus_Int,FALSE,50,1,1,10,None,None,0
A_StatBonus_Int_T2,A_StatBonus_Int_T2,AddOption_Int,Add_A_StatBonus_Int,FALSE,50,1,2,10,None,None,0
A_StatBonus_Int_T3,A_StatBonus_Int_T3,AddOption_Int,Add_A_StatBonus_Int,FALSE,50,2,3,15,None,None,0
A_StatBonus_Int_T4,A_StatBonus_Int_T4,AddOption_Int,Add_A_StatBonus_Int,FALSE,50,3,4,5,None,None,0
A_StatBonus_Int_T5,A_StatBonus_Int_T5,AddOption_Int,Add_A_StatBonus_Int,FALSE,50,4,5,3,None,None,0
A_StatMinus_Int_T1,A_StatMinus_Int_T1,AddOption_Int,Add_A_StatBonus_Int,FALSE,50,-1,1,10,None,None,0
A_StatMinus_Int_T2,A_StatMinus_Int_T2,AddOption_Int,Add_A_StatBonus_Int,FALSE,50,-2,2,10,None,None,0
A_StatMinus_Int_T3,A_StatMinus_Int_T3,AddOption_Int,Add_A_StatBonus_Int,FALSE,50,-3,3,10,None,None,0
D_Defense_P_T1,D_Defense_P_T1,AddOption_Defense,Add_D_Defense,FALSE,50,1,1,10,Armor,None,0
D_Defense_P_T2,D_Defense_P_T2,AddOption_Defense,Add_D_Defense,FALSE,50,2,2,10,Armor,None,0
D_Defense_P_T3,D_Defense_P_T3,AddOption_Defense,Add_D_Defense,FALSE,50,3,3,20,Armor,None,0
D_Defense_P_T4,D_Defense_P_T4,AddOption_Defense,Add_D_Defense,FALSE,50,4,4,10,Armor,None,0
