ID,ModifierID,OptionKey,Value,MinDuration,MaxDuration,BuffCategory,BuffType,StringValue,IsMulti,DescKey,KeyOder
Potion_PoisonOption,Buff_Poison,Potion_PoisonOption,3,5,7,DeBuff,ActionBuff,Poison,FALSE,string_Buff_Poison,0
Potion_ConfuseOption,Buff_Confuse,Potion_ConfuseOption,0,3,5,DeBuff,ActionBuff,Confuse,FALSE,string_Buff_Confuse,0
Potion_StrengthBuff,Buff_Str,Potion_StrengthBuff,3,5,8,Buff,StatBuff,Str,FALSE,string_Buff_Str,0
Potion_AgillityBuff,Buff_Dex,Potion_AgillityBuff,3,5,8,Buff,StatBuff,Dex,FALSE,string_Buff_Dex,0
Potion_IntBuff,Buff_Int,Potion_IntBuff,3,5,8,Buff,StatBuff,Int,FALSE,string_Buff_Int,0
Potion_Warrior_0,Buff_Str,Potion_Warrior,2,5,8,Buff,StatBuff,Str,FALSE,string_Buff_Warrior,0
Potion_Warrior_1,Buff_MaxHP,Potion_Warrior,5,5,8,Buff,StatBuff,MaxHP,FALSE,string_Buff_Warrior,1
Potion_Invisible,Buff_Invisible,Potion_Invisible,0,5,8,Buff,ActionBuff,Invisible,FALSE,string_Buff_Invisible,0
Potion_Quickness_0,Buff_MoveSpeed,Potion_Quickness,-0.1,8,10,Buff,StatBuff,MoveSpeed,FALSE,string_Buff_Quick,0
Potion_Quickness_1,Buff_AttackSpeed,Potion_Quickness,-0.2,8,10,Buff,StatBuff,AttackSpeed,FALSE,string_Buff_Quick,1
Potion_Quickness_2,Buff_SpellSpeed,Potion_Quickness,-0.2,8,10,Buff,StatBuff,SpellSpeed,FALSE,string_Buff_Quick,2
Potion_EagleEye,Buff_Vision,Potion_EagleEye,3,5,7,Buff,StatBuff,Vision,FALSE,string_Buff_Vision,0
Potion_FireRsist_0,Buff_FireResist,Potion_FireRsist,2,6,9,Buff,StatBuff,FireResist,FALSE,string_Buff_Potion_FireResist,0
Potion_FireRsist_1,Buff_IceResist,Potion_FireRsist,-1,6,9,DeBuff,StatBuff,IceResist,FALSE,string_Buff_Potion_FireResist,1
Potion_IceResist_0,Buff_IceResist,Potion_IceResist,2,6,9,Buff,StatBuff,IceResist,FALSE,string_Buff_Potion_IceResist,0
Potion_IceResist_1,Buff_FireResist,Potion_IceResist,-1,6,9,DeBuff,StatBuff,FireResist,FALSE,string_Buff_Potion_IceResist,1
Potion_RegeneratePotion,Buff_Regen,Potion_RegeneratePotion,1,7,10,Buff,StatBuff,Regen,FALSE,string_Buff_Regen,0
Potion_Ghost_0,Buff_Invisible,Potion_Ghost,0,7,10,Buff,StatBuff,Invisible,FALSE,string_Buff_Ghost,0
Potion_Ghost_1,Buff_Ev,Potion_Ghost,5,7,10,Buff,StatBuff,Ev,FALSE,string_Buff_Ghost,1
Potion_TrollsBlood_0,Buff_Regen,Potion_TrollsBlood,3,10,13,Buff,StatBuff,Regen,FALSE,string_Buff_TrollsBlood,0
Potion_TrollsBlood_1,Buff_Str,Potion_TrollsBlood,3,10,13,Buff,StatBuff,Str,FALSE,string_Buff_TrollsBlood,1
Potion_VamfierBlood_0,Buff_LifeSteal,Potion_VamfierBlood,0.2,5,7,Buff,ActionBuff,LifeSteal,FALSE,string_Buff_Vamp,0
Potion_VamfierBlood_1,Buff_Regen,Potion_VamfierBlood,0,5,7,DeBuff,StatBuff,Regen,FALSE,string_Buff_Vamp,1
Potion_ElixirOfAccelerate_0,Buff_MoveSpeed,Potion_ElixirOfAccelerate,-0.3,10,12,Buff,StatBuff,MoveSpeed,FALSE,string_Buff_Quick,0
Potion_ElixirOfAccelerate_1,Buff_AttackSpeed,Potion_ElixirOfAccelerate,-0.3,10,12,Buff,StatBuff,AttackSpeed,FALSE,string_Buff_Quick,1
Potion_ElixirOfAccelerate_2,Buff_SpellSpeed,Potion_ElixirOfAccelerate,-0.3,10,12,Buff,StatBuff,SpellSpeed,FALSE,string_Buff_Quick,2
Scroll_Blink,Buff_Blink,Scroll_Blink,0,1,3,Buff,ActionBuff,Blink,FALSE,string_Buff_Blink,0
Scroll_Telleport,Buff_Telleport,Scroll_Telleport,0,1,3,Buff,ActionBuff,Telleport,FALSE,string_Buff_Telleport,0
,,,,,,Buff,,,,,
