OptionKey,ModifierID,Value,Priority,IsMulti
Elf_LongSword,Sword_Damage,1,50,FALSE
Elf_LongSword,Sword_Damage,0.1,100,TRUE
Elf_LongSword,Sword_Acc,1,50,FALSE
Elf_LightArmor,LightArmor_Def,1,50,FALSE
Elf_LightArmor,LightArmor_Def,0.1,100,TRUE
Elf_Bow,Bow_Damage,1,50,FALSE
Elf_Bow,Bow_Damage,0.1,100,TRUE
Elf_Bow,Bow_Acc,1,50,FALSE
Dwarf_Axe,Axe_Damage,1,50,FALSE
Dwarf_Axe,Axe_Damage,0.1,100,TRUE
Dwarf_Axe,Axe_Acc,1,50,FALSE
Dwarf_HeavyArmor,HeavyArmor_Def,1,50,FALSE
Dwarf_HeavyArmor,HeavyArmor_Def,0.1,100,TRUE
Dwarf_HeavyArmor,HeavyArmor_DamageReduce,1,50,FALSE
Orc_Axe,Axe_Damage,2,50,FALSE
Orc_Blunt,Blunt_Damage,2,50,FALSE
StoneBorn_Blunt,Blunt_Damage,1,50,FALSE
StoneBorn_Potion,Potion_Effect,-0.1,100,TRUE
RabbitFolk_ShortSword,ShortSword_Damage,1,50,FALSE
RabbitFolk_ShortSword,ShortSword_Damage,0.1,100,TRUE
RabbitFolk_ShortSword,ShortSword_Acc,1,50,FALSE
RabbitFolk_ShortSword,ShortSword_Acc,0.1,100,TRUE
RabbitFolk_HeavyArmor,HeavyArmor_Def,-0.1,100,TRUE
