OptionKey,ModifierID,Value,Job,DeskKey
Warrior_Str,Job_Str,2,Warrior,String_Mod_Str
Warrior_Dex,Job_Dex,1,Warrior,String_Mod_Dex
Warrior_Int,Job_Int,-3,Warrior,String_Mod_Int
Hunter_Stat,Job_Dex,2,Hunter,String_Mod_Dex
Hunter_Stat,Job_Int,-2,Hunter,String_Mod_Int
Rogue_Str,Job_Str,1,Rogue,String_Mod_Str
Rogue_Dex,Job_Dex,1,Rogue,String_Mod_Dex
Rogue_Int,Job_Int,-2,Rogue,String_Mod_Int
Mage_Str,Job_Str,-2,Mage,String_Mod_Str
Mage_Dex,Job_Dex,-1,Mage,String_Mod_Dex
Mage_Int,Job_Int,3,Mage,String_Mod_Int
BattleMaster_Str,Job_Str,1,BattleMaster,String_Mod_Str
BattleMaster_Dex,Job_Dex,-1,BattleMaster,String_Mod_Dex
BattleMaster_Int,Job_Int,1,BattleMaster,String_Mod_Int
Assassin_Str,Job_Str,1,Assassin,String_Mod_Str
Assassin_Dex,Job_Dex,2,Assassin,String_Mod_Dex
Assassin_Int,Job_Int,-2,Assassin,String_Mod_Int
Wonderer_Str,Job_Str,0,Wonderer,String_Mod_Str
Wonderer_Dex,Job_Dex,0,Wonderer,String_Mod_Dex
Wonderer_Int,Job_Int,0,Wonderer,String_Mod_Int
Engineer_Str,Job_Str,1,Engineer,String_Mod_Str
Engineer_Dex,Job_Dex,-1,Engineer,String_Mod_Dex
Engineer_Int,Job_Int,1,Engineer,String_Mod_Int
