OptionKey,ModifierID,Value,Race,DescKey
Elf_Race_Stat,Race_Dex,1,Elf,String_Elf_Race_Stat
Elf_Race_Stat,Race_Int,1,Elf,String_Elf_Race_Stat
Elf_Race_Stat,Race_Str,-1,Elf,String_Elf_Race_Stat
Elf_Race_Magic,Race_MagicDamage,1,Elf,String_Elf_Race_Magic
Elf_Race_Magic,Race_MagicAccuracy,1,Elf,String_Elf_Race_Magic
Dwarf_Race_Stat,Race_Str,1,Dwarf,String_Dwarf_Race_Stat
Dwarf_Race_Stat,Race_Vision,1,Dwarf,String_Dwarf_Race_Stat
Orc_Race_Stat,Race_Str,2,Orc,String_Orc_Race_Stat
Orc_Race_Stat,Race_Int,-1,Orc,String_Orc_Race_Stat
DungeonBorn_Race_Stat,Race_Str,-1,DungeonBorn,String_DungeonBorn_Race_Stat
DungeonBorn_Race_Stat,Race_Dex,-1,DungeonBorn,String_DungeonBorn_Race_Stat
DungeonBorn_Race_Stat,Race_Int,-1,DungeonBorn,String_DungeonBorn_Race_Stat
DungeonBorn_Race_LvStat,LevelUp_StatPoint,0.5,DungeonBorn,String_DungeonBorn_Race_LvStat
StoneBorn_Race__Stat,Race_Str,1,StoneBorn,String_StoneBorn_Race__Stat
StoneBorn_Race__Stat,Race_Dex,-1,StoneBorn,String_StoneBorn_Race__Stat
StoneBorn_Race_LvStat,LevelUp_DamageReduce,0.5,StoneBorn,String_StoneBorn_Race_LvStat
StoneBorn_Race__Stat,Race_DamageReduce,1,StoneBorn,String_StoneBorn_Race__Stat
SpellBane_Race_Stat,Race_MagicResist,1,SpellBane,String_SpellBane_Race_Stat
SpellBane_Race_Stat,Race_MagicDamage,-1,SpellBane,String_SpellBane_Race_Stat
Rabbitfolk_Race_Stat,Race_MoveSpeed,-0.1,RabbitFolk,String_Rabbitfolk_Race_Stat
Rabbitfolk_Race_Stat,Race_Sound,-0.2,RabbitFolk,String_Rabbitfolk_Race_Stat
Rabbitfolk_Race_Stat,Race_MaxHp,-3,RabbitFolk,String_Rabbitfolk_Race_Stat
