ID,ModifierID,OptionKey,IsMulti,Value,Priority,DescKey,KeyOder
CombatKnife_Damage,Weapon_Damage,CombatKnife_Damage,FALSE,3,50,String_Mod_Damage,0
CombatKnife_Accuracy,Weapon_Accurency,CombatKnife_Accuracy,FALSE,5,50,String_Mod_Accuracy,0
CombatKnife_AttackSpeed,Weapon_AttackSpeed,CombatKnife_AttackSpeed,FALSE,-0.1,50,String_Mod_AttackSpeed,0
Dagger_Damage,Weapon_Damage,Dagger_Damage,FALSE,4,50,String_Mod_Damage,0
Dagger_Accuracy,Weapon_Accurency,Dagger_Accuracy,FALSE,6,50,String_Mod_Accuracy,0
Dagger_AttackSpeed,Weapon_AttackSpeed,Dagger_AttackSpeed,FALSE,-0.1,50,String_Mod_AttackSpeed,0
ShortSword_Damage,Weapon_Damage,ShortSword_Damage,FALSE,5,50,String_Mod_Damage,0
ShortSword_Accuracy,Weapon_Accurency,ShortSword_Accuracy,FALSE,7,50,String_Mod_Accuracy,0
ShortSword_AttackSpeed,Weapon_AttackSpeed,ShortSword_AttackSpeed,FALSE,-0.2,50,String_Mod_AttackSpeed,0
Stiletto_Damage,Weapon_Damage,Stiletto_Damage,FALSE,7,50,String_Mod_Damage,0
Stiletto_Accuracy,Weapon_Accurency,Stiletto_Accuracy,FALSE,7,50,String_Mod_Accuracy,0
Stiletto_AttackSpeed,Weapon_AttackSpeed,Stiletto_AttackSpeed,FALSE,-0.3,50,String_Mod_AttackSpeed,0
Kris_Damage,Weapon_Damage,Kris_Damage,FALSE,5,50,String_Mod_Damage,0
Kris_Accuracy,Weapon_Accurency,Kris_Accuracy,FALSE,3,50,String_Mod_Accuracy,0
Kris_AttackSpeed,Weapon_AttackSpeed,Kris_AttackSpeed,FALSE,2,50,String_Mod_AttackSpeed,0
Kris_MagicDamage,Weapon_MagicDamage,Kris_MagicDamage,FALSE,2,50,String_Mod_MagicDamage,0
Kris_MagicAccurency,Weapon_MagicAccuracy,Kris_MagicAccurency,FALSE,-0.1,50,String_Mod_MagicAccurency,0
