ID,EffectName,IsMulti,StringKey,ModifierTrigger,Priority,ModifierType
Buff_Poison,DotDamage,FALSE,Poison,OnUse,50,BuffModifier
Buff_Confuse,Confuse,FALSE,Confuse,OnUse,100,BuffModifier
Buff_Str,StatBuff,FALSE,Str,OnUse,50,BuffModifier
Buff_Dex,StatBuff,FALSE,Dex,OnUse,100,BuffModifier
Buff_Int,StatBuff,FALSE,Int,OnUse,50,BuffModifier
Buff_MaxHP,StatBuff,FALSE,MaxHP,OnUse,50,BuffModifier
Buff_AttackSpeed,StatBuff,FALSE,AttackSpeed,OnUse,50,BuffModifier
Buff_MoveSpeed,StatBuff,FALSE,MoveSpeed,OnUse,50,BuffModifier
Buff_SpellSpeed,StatBuff,FALSE,SpellSpeed,OnUse,50,BuffModifier
Buff_Invisible,Insivible,FALSE,Invisible,OnUse,50,BuffModifier
Buff_Vision,StatBuff,FALSE,Vision,OnUse,50,BuffModifier
Buff_FireResist,StatBuff,FALSE,FireResist,OnUse,50,BuffModifier
Buff_IceResist,StatBuff,FALSE,IceResist,OnUse,50,BuffModifier
Buff_ThunderResist,StatBuff,FALSE,ThunderResist,OnUse,50,BuffModifier
Buff_Regen,StatBuff,FALSE,Regen,OnUse,50,BuffModifier
Buff_Evasion,StatBuff,FALSE,Evasion,OnUse,50,BuffModifier
Buff_LifeSeal,LifeSteal,FALSE,LifeSeal,OnUse,50,BuffModifier
Buff_Teleport,AddState,FALSE,Teleport,OnUse,50,BuffModifier
Buff_Blink,AddState,FALSE,Blink,OnUse,50,BuffModifier
Buff_Ev,StatBuff,FALSE,Evasion,OnUse,50,BuffModifier
