ID,StringValue,IsMulti,ModifierTrigger,Priority,ModifierType
Weapon_Damage,Damage,FALSE,Passive,50,StatModifier
Weapon_DamageMuti,Damage,TRUE,Passive,100,StatModifier
Weapon_Accuracy,Accuracy,FALSE,Passive,50,StatModifier
Weapon_AccuracyMuti,Accuracy,TRUE,Passive,100,StatModifier
Weapon_Inchant_Damage,Damage,FALSE,Passive,50,StatModifier
Weapon_Inchant_Accurancy,Accuracy,FALSE,Passive,50,StatModifier
Weapon_AttackSpeed,AttackSpeed,FALSE,Passive,50,StatModifier
Weapon_MagicDamage,MagicDamage,FALSE,Passive,50,StatModifier
Weapon_MagicAccurancy,MagicAccuracy,FALSE,Passive,50,StatModifier
Weapon_AttackRange,AttackRange,FALSE,Passive,50,StatModifier
Weapon_SpellSpeed,SpellSpeed,FALSE,Passive,50,StatModifier
Armor_Def,Defense,FALSE,Passive,50,StatModifier
Armor_Ev,Evasion,FALSE,Passive,50,StatModifier
Armor_DamageReduce,DamageReduce,FALSE,Passive,50,StatModifier
Armor_Disruption,Disruption,FALSE,Passive,50,StatModifier
AddOption_AttackSpeed,AttackSpeed,TRUE,Passive,50,StatModifier
AddOption_Str,Str,FALSE,Passive,50,StatModifier
AddOption_Dex,Dex,FALSE,Passive,50,StatModifier
AddOption_Int,Int,FALSE,Passive,50,StatModifier
AddOption_Defense,Defense,FALSE,Passive,50,StatModifier
AddOption_Evasion,Evasion,FALSE,Passive,50,StatModifier
AddOption_DamageReduce,DamageReduce,FALSE,Passive,50,StatModifier
AddOption_FireResist,FireResist,FALSE,Passive,50,StatModifier
AddOption_IceResist,IceResist,FALSE,Passive,50,StatModifier
AddOption_ThunderResist,ThunderResist,FALSE,Passive,50,StatModifier
AddOption_MagicResist,MagicResist,FALSE,Passive,50,StatModifier
Race_Str,Str,FALSE,Passive,50,StatModifier
Race_Dex,Dex,FALSE,Passive,50,StatModifier
Race_Int,Int,FALSE,Passive,50,StatModifier
Level_Str,STr,FALSE,Passive,50,StatModifier
Level_Dex,Dex,FALSE,Passive,50,StatModifier
Level_Int,Int,FALSE,Passive,50,StatModifier
LevelUp_StatPoint,StatPoint,FALSE,OnLevelUp,50,StatModifier
Race_Vision,Vision,FALSE,Passive,50,StatModifier
LevelUp_DamageReduce,DamageReduce,FALSE,OnLevelUp,50,StatModifier
Race_DamageReduce,DamageReduce,FALSE,Passive,50,StatModifier
Race_MagicResist,MagicResist,FALSE,Passive,50,StatModifier
Race_MagicDamage,MagicDamage,FALSE,Passive,50,StatModifier
Race_MagicAccuracy,MagicAccuracy,FALSE,Passive,50,StatModifier
Race_MaxHp,MaxHp,FALSE,Passive,50,StatModifier
Job_Str,Str,FALSE,Passive,50,StatModifier
Job_Dex,Dex,FALSE,Passive,50,StatModifier
Job_Int,Int,FALSE,Passive,50,StatModifier
