ID,Job,OptionKey
JobStat_001,Warrior,Warrior_Str
JobStat_002,Warrior,Warrior_Dex
JobStat_003,Warrior,Warrior_Int
JobStat_004,Hunter,Hunter_Stat
JobStat_005,Hunter,Hunter_Stat
JobStat_006,Rogue,Rogue_Str
JobStat_007,Rogue,Rogue_Dex
JobStat_008,Rogue,Rogue_Int
JobStat_009,Mage,Mage_Str
JobStat_010,Mage,Mage_Dex
JobStat_011,Mage,Mage_Int
JobStat_012,BattleMaster,BattleMaster_Str
JobStat_013,BattleMaster,BattleMaster_Dex
JobStat_014,BattleMaster,BattleMaster_Int
JobStat_015,Assassin,Assassin_Str
JobStat_016,Assassin,Assassin_Dex
JobStat_017,Assassin,Assassin_Int
JobStat_018,Wonderer,Wonderer_Str
JobStat_019,Wonderer,Wonderer_Dex
JobStat_020,Wonderer,Wonderer_Int
JobStat_021,Engineer,Engineer_Str
JobStat_022,Engineer,Engineer_Dex
JobStat_023,Engineer,Engineer_Int
