ID,Race,OptionKey
RT_001,Elf,Elf_Race_Stat
RT_002,Elf,Elf_Race_Magic
RT_003,Elf,Elf_Bow
RT_004,Elf,Elf_LongSword
RT_005,Elf,Elf_LightArmor
RT_006,Dwarf,Dwarf_Race_Stat
RT_007,Dwarf,Dwarf_Axe
RT_008,Dwarf,Dwarf_HeavyArmor
RT_009,Orc,Orc_Race_Stat
RT_010,Orc,Orc_Axe
RT_011,Orc,Orc_Blunt
RT_012,DungeonBorn,DungeonBorn_Race_Stat
RT_013,DungeonBorn,DungeonBorn_Race_LvStat
RT_014,StoneBorn,StoneBorn_Race__Stat
RT_015,StoneBorn,StoneBorn_Race_LvStat
RT_016,StoneBorn,StoneBorn_Blunt
RT_017,StoneBorn,StoneBorn_Potion
RT_018,SpellBane,SpellBane_Race_Stat
RT_019,RabbitFolk,Rabbitfolk_Race_Stat
RT_020,RabbitFolk,RabbitFolk_ShortSword
RT_021,RabbitFolk,RabbitFolk_HeavyArmor
